Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,16.399,16.532,15.771,16.494,1032200,0.0,0.0
2017-01-04,16.513,16.618,16.351,16.456,1446200,0.0,0.0
2017-01-05,16.37,17.322,16.18,17.122,2805200,0.0,0.0
2017-01-06,17.141,17.255,16.703,17.16,1059900,0.0,0.0
2017-01-09,17.179,17.503,17.16,17.274,1129900,0.0,0.0
2017-01-10,17.313,17.446,17.103,17.398,683800,0.0,0.0
2017-01-11,17.36,17.436,17.151,17.36,526100,0.0,0.0
2017-01-12,17.341,17.436,16.732,17.189,664800,0.0,0.0
2017-01-13,17.293,17.408,17.227,17.322,426100,0.0,0.0
2017-01-17,17.265,17.322,16.998,17.027,1099100,0.0,0.0
2017-01-18,17.065,17.408,16.77,17.303,1107000,0.0,0.0
2017-01-19,17.284,17.741,17.189,17.57,1628400,0.0,0.0
2017-01-20,17.227,17.46,17.007,17.198,1102000,0.0,0.0
2017-01-23,17.103,17.56,17.093,17.351,1117600,0.0,0.0
2017-01-24,17.313,17.446,17.179,17.351,1055300,0.0,0.0
2017-01-25,17.351,17.427,17.198,17.379,1043700,0.0,0.0
2017-01-26,17.341,17.379,16.894,16.922,770600,0.0,0.0
2017-01-27,16.856,17.065,16.446,16.656,1165800,0.0,0.0
2017-01-30,16.513,16.656,15.971,16.618,1650600,0.0,0.0
2017-01-31,16.484,16.727,16.408,16.532,1811300,0.0,0.0
2017-02-01,15.695,16.18,15.323,15.723,4712400,0.0,0.0
2017-02-02,15.599,16.646,15.599,16.18,2982200,0.0,0.0
2017-02-03,16.275,16.789,16.18,16.656,1449300,0.0,0.0
2017-02-06,16.656,16.837,16.575,16.751,926700,0.0,0.0
2017-02-07,16.751,16.827,16.494,16.694,1602100,0.0,0.0
2017-02-08,16.665,17.037,16.465,17.017,1132600,0.0,0.0
2017-02-09,16.941,17.217,16.903,17.037,700400,0.0,0.0
2017-02-10,17.132,17.132,16.646,16.665,692300,0.0,0.0
2017-02-13,16.665,16.865,16.465,16.627,870300,0.0,0.0
2017-02-14,16.684,16.684,16.304,16.484,1356300,0.0,0.0
2017-02-15,16.484,16.703,16.304,16.427,831500,0.0,0.0
2017-02-16,16.418,16.451,16.104,16.218,789900,0.0,0.0
2017-02-17,16.18,16.332,15.961,16.332,804500,0.0,0.0
2017-02-21,16.323,16.551,16.113,16.228,697600,0.0,0.0
2017-02-22,16.151,16.323,16.104,16.266,616000,0.0,0.0
2017-02-23,16.323,16.323,15.847,15.98,1085700,0.0,0.0
2017-02-24,15.856,15.999,15.637,15.704,1932000,0.0,0.0
2017-02-27,15.599,15.718,15.485,15.609,1360800,0.0,0.0
2017-02-28,15.59,15.618,15.171,15.38,1646700,0.0,0.0
2017-03-01,15.523,15.771,15.428,15.637,1488700,0.0,0.0
2017-03-02,15.609,15.628,15.247,15.285,571700,0.0,0.0
2017-03-03,15.238,15.485,15.0,15.438,1215000,0.0,0.0
2017-03-06,15.285,15.59,15.057,15.523,1448000,0.0,0.0
2017-03-07,15.495,15.856,15.419,15.79,1313200,0.0,0.0
2017-03-08,15.799,16.009,15.752,15.818,651900,0.0,0.0
2017-03-09,15.828,15.98,15.695,15.913,607700,0.0,0.0
2017-03-10,15.971,16.123,15.904,15.971,782000,0.0,0.0
2017-03-13,16.009,16.151,15.799,15.942,768100,0.0,0.0
2017-03-14,15.942,15.942,15.571,15.733,584700,0.0,0.0
2017-03-15,15.799,16.028,15.695,15.942,759000,0.0,0.0
2017-03-16,15.98,16.066,15.723,15.752,641700,0.0,0.0
2017-03-17,15.752,15.79,15.523,15.561,702900,0.0,0.0
2017-03-20,15.609,15.661,15.323,15.457,793900,0.0,0.0
2017-03-21,15.457,15.656,15.238,15.304,1036400,0.0,0.0
2017-03-22,15.276,15.466,15.181,15.457,631500,0.0,0.0
2017-03-23,15.485,15.718,15.1,15.209,584300,0.0,0.0
2017-03-24,15.181,15.371,15.095,15.114,504300,0.0,0.0
2017-03-27,15.085,15.352,14.867,15.304,1351100,0.0,0.0
2017-03-28,15.276,15.276,14.676,14.943,2015800,0.0,0.0
2017-03-29,14.952,15.542,14.952,15.495,1500500,0.0,0.0
2017-03-30,15.485,15.79,15.285,15.656,2154600,0.0,0.0
2017-03-31,15.647,15.761,15.504,15.542,488800,0.0,0.0
2017-04-03,15.514,15.847,15.48,15.752,1401700,0.0,0.0
2017-04-04,15.809,15.894,15.599,15.809,1004100,0.0,0.0
2017-04-05,15.923,15.99,15.595,15.656,1256200,0.0,0.0
2017-04-06,15.609,15.847,15.514,15.828,702400,0.0,0.0
2017-04-07,15.809,16.18,15.742,15.913,1063200,0.0,0.0
2017-04-10,15.952,16.294,15.952,16.208,1267400,0.0,0.0
2017-04-11,16.228,16.399,16.094,16.399,999000,0.0,0.0
2017-04-12,16.351,16.656,16.323,16.561,1730500,0.0,0.0
2017-04-13,16.57,16.599,16.285,16.389,660700,0.0,0.0
2017-04-17,16.389,16.589,16.342,16.513,411900,0.0,0.0
2017-04-18,16.589,16.808,16.523,16.627,1324500,0.0,0.0
2017-04-19,16.741,17.303,16.67,17.141,1878000,0.0,0.0
2017-04-20,17.179,17.341,17.094,17.16,1016900,0.0,0.0
2017-04-21,17.132,17.346,17.075,17.293,1277700,0.0,0.0
2017-04-24,17.417,17.427,17.251,17.379,1084000,0.0,0.0
2017-04-25,17.37,17.731,17.37,17.579,1287100,0.0,0.0
2017-04-26,17.636,17.817,17.531,17.807,943100,0.0,0.0
2017-04-27,17.627,17.974,17.627,17.922,1056700,0.0,0.0
2017-04-28,17.979,18.055,17.465,17.731,2488700,0.0,0.0
2017-05-01,17.807,18.417,17.788,18.245,2130100,0.0,0.0
2017-05-02,18.274,18.873,17.741,18.207,4700600,0.0,0.0
2017-05-03,17.141,17.826,17.132,17.589,2886200,0.0,0.0
2017-05-04,17.646,18.312,17.265,18.245,3269200,0.0,0.0
2017-05-05,18.331,18.911,18.122,18.378,2944700,0.0,0.0
2017-05-08,18.378,18.464,18.083,18.102,1002900,0.0,0.0
2017-05-09,18.616,18.616,17.893,18.188,787500,0.0,0.0
2017-05-10,18.036,18.245,17.846,18.169,1960100,0.0,0.0
2017-05-11,18.093,19.035,18.079,19.016,2625500,0.0,0.0
2017-05-12,18.854,18.94,18.255,18.321,1897000,0.0,0.0
2017-05-15,18.407,18.911,18.407,18.74,1146500,0.0,0.0
2017-05-16,18.559,18.921,18.321,18.635,1616900,0.0,0.0
2017-05-17,18.436,18.54,17.56,17.722,1693600,0.0,0.0
2017-05-18,17.598,18.398,17.531,18.131,1451900,0.0,0.0
2017-05-19,18.245,18.455,18.198,18.226,605000,0.0,0.0
2017-05-22,18.264,18.712,18.226,18.702,930400,0.0,0.0
2017-05-23,18.683,18.854,18.626,18.712,862600,0.0,0.0
2017-05-24,18.797,18.873,18.693,18.769,543500,0.0,0.0
2017-05-25,18.845,18.864,18.483,18.502,516400,0.0,0.0
2017-05-26,18.493,18.674,18.388,18.664,850400,0.0,0.0
2017-05-30,18.674,19.744,18.674,19.073,2413800,0.0,0.0
2017-05-31,19.168,19.321,18.474,18.54,1620000,0.0,0.0
2017-06-01,18.578,18.759,18.255,18.445,905000,0.0,0.0
2017-06-02,18.521,18.664,18.359,18.464,688400,0.0,0.0
2017-06-05,18.436,18.436,18.022,18.226,763300,0.0,0.0
2017-06-06,18.198,18.607,18.093,18.426,711900,0.0,0.0
2017-06-07,18.398,18.521,18.15,18.359,557300,0.0,0.0
2017-06-08,18.359,18.488,17.998,18.188,581500,0.0,0.0
2017-06-09,18.331,18.398,17.017,17.579,1225100,0.0,0.0
2017-06-12,17.341,17.363,16.561,16.684,2717600,0.0,0.0
2017-06-13,17.027,17.246,16.608,16.808,1434300,0.0,0.0
2017-06-14,16.875,17.179,16.532,16.684,1110900,0.0,0.0
2017-06-15,16.437,16.544,16.113,16.18,988100,0.0,0.0
2017-06-16,16.161,16.37,16.037,16.208,1715700,0.0,0.0
2017-06-19,16.427,16.875,16.323,16.827,1256100,0.0,0.0
2017-06-20,16.656,17.032,16.599,16.656,719700,0.0,0.0
2017-06-21,16.646,16.751,16.418,16.665,765600,0.0,0.0
2017-06-22,16.656,16.951,16.475,16.732,883600,0.0,0.0
2017-06-23,16.751,16.994,16.57,16.97,1181600,0.0,0.0
2017-06-26,17.075,17.122,16.732,16.932,743600,0.0,0.0
2017-06-27,16.846,16.941,16.637,16.651,668500,0.0,0.0
2017-06-28,16.799,16.799,16.418,16.713,825400,0.0,0.0
2017-06-29,16.608,16.713,15.771,16.542,1317700,0.0,0.0
2017-06-30,16.551,16.684,16.375,16.542,886900,0.0,0.0
2017-07-03,16.608,16.732,16.361,16.465,377600,0.0,0.0
2017-07-05,16.465,16.646,16.285,16.542,990200,0.0,0.0
2017-07-06,16.446,16.732,16.247,16.608,1074400,0.0,0.0
2017-07-07,16.665,16.97,16.513,16.703,807700,0.0,0.0
2017-07-10,16.732,17.198,16.703,17.084,758300,0.0,0.0
2017-07-11,17.084,17.255,16.818,17.217,741100,0.0,0.0
2017-07-12,17.293,17.631,17.265,17.398,1000100,0.0,0.0
2017-07-13,17.465,17.499,17.094,17.255,1070300,0.0,0.0
2017-07-14,17.284,17.503,17.056,17.217,656900,0.0,0.0
2017-07-17,17.313,17.498,16.903,16.922,1480400,0.0,0.0
2017-07-18,16.989,18.15,16.989,17.846,2659000,0.0,0.0
2017-07-19,17.912,18.255,17.846,18.093,1214600,0.0,0.0
2017-07-20,18.093,18.169,17.57,17.646,951300,0.0,0.0
2017-07-21,17.608,17.627,17.265,17.522,800200,0.0,0.0
2017-07-24,17.55,17.826,17.522,17.769,523100,0.0,0.0
2017-07-25,17.912,18.226,17.646,17.979,1065500,0.0,0.0
2017-07-26,18.026,18.064,17.769,17.807,813200,0.0,0.0
2017-07-27,17.979,18.231,17.336,17.674,1518400,0.0,0.0
2017-07-28,17.598,17.994,17.484,17.674,956300,0.0,0.0
2017-07-31,17.712,17.941,17.36,17.37,1808100,0.0,0.0
2017-08-01,17.398,17.646,17.132,17.36,2539800,0.0,0.0
2017-08-02,17.265,18.797,17.227,18.093,3767000,0.0,0.0
2017-08-03,18.141,18.302,17.855,17.979,1598400,0.0,0.0
2017-08-04,17.96,17.96,17.36,17.912,1469900,0.0,0.0
2017-08-07,17.903,18.274,17.865,17.884,1078700,0.0,0.0
2017-08-08,17.893,18.055,17.484,17.979,877900,0.0,0.0
2017-08-09,17.874,17.998,17.617,17.855,723500,0.0,0.0
2017-08-10,17.722,17.817,17.189,17.293,1297800,0.0,0.0
2017-08-11,17.293,17.884,17.236,17.855,1089200,0.0,0.0
2017-08-14,17.846,18.512,17.826,18.426,1518600,0.0,0.0
2017-08-15,18.521,18.721,18.283,18.455,1261300,0.0,0.0
2017-08-16,18.283,18.816,18.236,18.331,1964400,0.0,0.0
2017-08-17,18.264,18.274,17.674,17.731,1504500,0.0,0.0
2017-08-18,17.731,18.045,17.493,17.893,673800,0.0,0.0
2017-08-21,17.922,17.979,17.636,17.788,702700,0.0,0.0
2017-08-22,17.96,18.064,17.76,17.893,770200,0.0,0.0
2017-08-23,17.798,17.917,17.617,17.712,444800,0.0,0.0
2017-08-24,17.731,17.884,17.522,17.836,717300,0.0,0.0
2017-08-25,17.903,18.359,17.874,18.007,1033800,0.0,0.0
2017-08-28,18.036,18.478,17.874,18.378,760900,0.0,0.0
2017-08-29,18.188,18.959,18.122,18.807,1751800,0.0,0.0
2017-08-30,18.845,20.349,18.845,20.187,4795700,0.0,0.0
2017-08-31,20.273,21.5,20.187,20.701,3692100,0.0,0.0
2017-09-01,20.796,21.824,20.663,21.272,2392400,0.0,0.0
2017-09-05,21.415,22.366,21.281,22.271,3765200,0.0,0.0
2017-09-06,22.433,22.833,22.09,22.147,3052800,0.0,0.0
2017-09-07,22.585,22.89,21.7,21.862,3575200,0.0,0.0
2017-09-08,21.434,21.614,20.958,21.101,2782000,0.0,0.0
2017-09-11,21.653,22.043,21.548,21.824,1687000,0.0,0.0
2017-09-12,22.043,22.528,21.89,22.5,1203300,0.0,0.0
2017-09-13,22.376,22.538,21.557,21.938,1593500,0.0,0.0
2017-09-14,21.786,21.919,21.605,21.757,1045700,0.0,0.0
2017-09-15,21.833,22.414,21.681,22.414,1532800,0.0,0.0
2017-09-18,22.538,22.728,22.186,22.338,1053400,0.0,0.0
2017-09-19,22.328,22.623,22.09,22.319,1412600,0.0,0.0
2017-09-20,22.519,23.147,22.195,22.49,1939100,0.0,0.0
2017-09-21,22.471,22.728,21.7,22.69,1758800,0.0,0.0
2017-09-22,22.604,23.223,22.462,22.985,1994500,0.0,0.0
2017-09-25,22.947,22.947,21.948,22.262,2362600,0.0,0.0
2017-09-26,22.167,22.49,21.795,22.319,2060300,0.0,0.0
2017-09-27,22.547,23.166,22.471,22.785,1824000,0.0,0.0
2017-09-28,22.623,22.814,22.09,22.271,1513400,0.0,0.0
2017-09-29,22.385,22.443,22.043,22.071,1179100,0.0,0.0
2017-10-02,22.109,22.947,22.109,22.747,2683100,0.0,0.0
2017-10-03,22.937,24.041,22.851,23.556,2700200,0.0,0.0
2017-10-04,23.765,24.279,23.528,23.984,2844200,0.0,0.0
2017-10-05,24.118,24.289,23.765,24.003,1446200,0.0,0.0
